ACC,1000047.68,<Pricable.Portfolio object at 0x7fe6ccc676a0>,-71.9418260654,-94.5521142574
ACRX,1000170.0,<Pricable.Portfolio object at 0x7fe6cd1df748>,-68.5220241552,-90.0575174612
ADMS,1000241.0,<Pricable.Portfolio object at 0x7fe6ccc8a048>,-104.984523437,-137.979659374
ACW,1000456.0,<Pricable.Portfolio object at 0x7fe6ccc8a4a8>,nan,nan
ACTS,1000527.0,<Pricable.Portfolio object at 0x7fe6cd1df9e8>,9.48590555806,12.467190162
ACH,1000885.66,<Pricable.Portfolio object at 0x7fe6d8411208>,-48.0633840308,-63.1690190119
ACOR,1001359.0,<Pricable.Portfolio object at 0x7fe6d8413e10>,-234.473115696,-308.164666344
ACN,1001371.71,<Pricable.Portfolio object at 0x7fe6d842e1d0>,-171.231183301,-225.046698053
ACCO,1001579.0,<Pricable.Portfolio object at 0x7fe6cc35d9b0>,38.2066513436,50.2144560516
ACFC,nan,<Pricable.Portfolio object at 0x7fe6ce22c9e8>,nan,nan
ACGL,1001627.62,<Pricable.Portfolio object at 0x7fe6d840d898>,-80.4384844871,-105.71915104
ACHC,nan,<Pricable.Portfolio object at 0x7fe6cd357a20>,246.975787407,324.596749164
ACRE,1000306.21,<Pricable.Portfolio object at 0x7fe6cd1dfb38>,nan,nan
ACIW,1000652.37,<Pricable.Portfolio object at 0x7fe6d840e9e8>,-60.2184046139,-79.1441889211
ACNB,nan,<Pricable.Portfolio object at 0x7fe6d8425550>,-57.0980498003,-75.0431511662
ACST,nan,<Pricable.Portfolio object at 0x7fe6cd1df5f8>,370.565125258,487.028450339
ACU,nan,<Pricable.Portfolio object at 0x7fe6cd1df160>,-46.0795303479,-60.5616684573
ACUR,nan,<Pricable.Portfolio object at 0x7fe6ccc8a400>,16.3630021224,21.5056599323
ACY,nan,<Pricable.Portfolio object at 0x7fe6ccc8a128>,nan,nan
ADHD,1000134.0,<Pricable.Portfolio object at 0x7fe6ccc8a898>,-51.5217662972,-67.7143214191
ADBE,1001772.16,<Pricable.Portfolio object at 0x7fe6ccc8a780>,nan,nan
ADGE,nan,<Pricable.Portfolio object at 0x7fe6ccc8a5f8>,nan,nan
ADK,nan,<Pricable.Portfolio object at 0x7fe6ccc8a8d0>,-13.2775468717,-17.4504901742
ADMA,nan,<Pricable.Portfolio object at 0x7fe6ccc8a198>,-54.509390794,-71.640913615
ADMP,nan,<Pricable.Portfolio object at 0x7fe6ccc8aa58>,-45.1948429154,-59.3989364031
ADPT,1000274.0,<Pricable.Portfolio object at 0x7fe6ccc8ac18>,nan,nan
ADP,1001916.81,<Pricable.Portfolio object at 0x7fe6ccc8aba8>,nan,nan
ADRA,nan,<Pricable.Portfolio object at 0x7fe6ccc8ad68>,-48.0385276977,-63.1363506885
ADRD,nan,<Pricable.Portfolio object at 0x7fe6ccc8ac50>,-31.3606799782,-41.2168936857
ADTN,997999.84,<Pricable.Portfolio object at 0x7fe6ccc8af60>,81.1160366698,106.609648195
AEGR,998110.0,<Pricable.Portfolio object at 0x7fe69791a400>,nan,nan
AEM,998149.46,<Pricable.Portfolio object at 0x7fe69791a748>,nan,nan
AF,998300.69,<Pricable.Portfolio object at 0x7fe69791ada0>,-32.839808374,-43.1608910059
AEG,999153.75,<Pricable.Portfolio object at 0x7fe69791a438>,-19.335206278,-25.4119853939
ADUS,999417.0,<Pricable.Portfolio object at 0x7fe6ccc8aeb8>,nan,nan
AFB,999807.62,<Pricable.Portfolio object at 0x7fe69791ae80>,nan,nan
ADRE,999990.76,<Pricable.Portfolio object at 0x7fe6ccc8ada0>,-72.8626761778,-95.7623744051
ADRO,1000000,<Pricable.Portfolio object at 0x7fe6ccc8acc0>,-0.0,-0.0
ADRU,nan,<Pricable.Portfolio object at 0x7fe6ccc8af28>,-34.8363242103,-45.7848832478
AEB,999418.93,<Pricable.Portfolio object at 0x7fe69791a1d0>,nan,nan
AES,999420.87,<Pricable.Portfolio object at 0x7fe69791a8d0>,-34.1434501837,-44.8742488129
AEO,999512.69,<Pricable.Portfolio object at 0x7fe69791a7f0>,nan,nan
ADSW,1000000,<Pricable.Portfolio object at 0x7fe6ccc8ac88>,-0.0,-0.0
AEUA,1000000,<Pricable.Portfolio object at 0x7fe69791aa90>,-0.0,-0.0
AFCO,1000000,<Pricable.Portfolio object at 0x7fe69791aeb8>,-0.0,-0.0
AFGE,1000038.67,<Pricable.Portfolio object at 0x7fe69791afd0>,-9.10121171957,-11.9615925457
AEH,1000135.87,<Pricable.Portfolio object at 0x7fe69791a550>,nan,nan
AEK,1000145.62,<Pricable.Portfolio object at 0x7fe69791a630>,-20.7262727169,-27.2402441422
AEP,1000278.3,<Pricable.Portfolio object at 0x7fe69791a908>,-115.283725691,-151.515753766
ADX,1000310.75,<Pricable.Portfolio object at 0x7fe69791a198>,-17.8932412533,-23.5168313615
AEE,1000743.02,<Pricable.Portfolio object at 0x7fe69791a048>,-95.4985080706,-125.512324893
AEGN,1000863.0,<Pricable.Portfolio object at 0x7fe69791a470>,-73.3044991411,-96.343056014
AEIS,1000888.0,<Pricable.Portfolio object at 0x7fe69791a208>,-128.284167644,-168.602048904
ADVM,1001409.0,<Pricable.Portfolio object at 0x7fe6d842e940>,nan,nan
AER,1001424.0,<Pricable.Portfolio object at 0x7fe69791a978>,-135.186018685,-177.673053128
AED,1001621.92,<Pricable.Portfolio object at 0x7fe69791a240>,-12.4910716476,-16.4168370226
AERI,1002044.0,<Pricable.Portfolio object at 0x7fe69791a4e0>,nan,nan
ADSK,1003668.13,<Pricable.Portfolio object at 0x7fe6ccc8ae80>,-194.604193094,-255.765510924
ADS,1019050.0,<Pricable.Portfolio object at 0x7fe6ccc8afd0>,nan,nan
ADXS,nan,<Pricable.Portfolio object at 0x7fe69791a0b8>,nan,nan
AE,nan,<Pricable.Portfolio object at 0x7fe69791a2e8>,-269.772909174,-354.558680628
AEHR,nan,<Pricable.Portfolio object at 0x7fe69791a668>,nan,nan
AFA,1000441.03,<Pricable.Portfolio object at 0x7fe69791ad68>,-26.60981652,-34.972901712
AFC,1000560.35,<Pricable.Portfolio object at 0x7fe69791af60>,nan,nan
AFG,1000600.61,<Pricable.Portfolio object at 0x7fe69791add8>,-88.8318038958,-116.750370834
AEL,1002693.41,<Pricable.Portfolio object at 0x7fe69791a6a0>,-82.7351943453,-108.737683997
AEMD,nan,<Pricable.Portfolio object at 0x7fe69791a6d8>,nan,nan
AET,1003302.91,<Pricable.Portfolio object at 0x7fe69791aa20>,nan,nan
AEPI,1005294.77,<Pricable.Portfolio object at 0x7fe69791a860>,nan,nan
AETI,nan,<Pricable.Portfolio object at 0x7fe69791ab38>,nan,nan
AEY,nan,<Pricable.Portfolio object at 0x7fe69791aba8>,13.3381422123,17.5301297647
AEZS,nan,<Pricable.Portfolio object at 0x7fe69791ac88>,nan,nan
AFAM,nan,<Pricable.Portfolio object at 0x7fe69791ab00>,nan,nan
AI,993119.49,<Pricable.Portfolio object at 0x7fe6979122e8>,-42.6625387985,-56.070765278
AGEN,996938.89,<Pricable.Portfolio object at 0x7fe69791f630>,-29.9998442354,-39.4283667094
AGNC,998519.6,<Pricable.Portfolio object at 0x7fe69791f940>,nan,nan
AHGP,998524.45,<Pricable.Portfolio object at 0x7fe69791fba8>,nan,nan
AFSI,998869.99,<Pricable.Portfolio object at 0x7fe69791f0b8>,115.710299914,152.076394173
AHS,999276.0,<Pricable.Portfolio object at 0x7fe697912320>,-72.7646819079,-95.6335819361
AGNCP,999435.54,<Pricable.Portfolio object at 0x7fe69791fb70>,nan,nan
AIA,999509.1,<Pricable.Portfolio object at 0x7fe6979122b0>,-73.8952057645,-97.1194132905
